playbook;techniques
p377;[{'1': 'ConfigurationInventory'}, {'2': 'DataInventory'}, {'3': 'OperationalActivityMapping'}, {'4': 'OperationalDependencyMapping'}]
p378;[{'1': 'ConnectionAttemptAnalysis'}, {'2': 'NetworkTrafficAnalysis'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'ProtocolMetadataAnomalyDetection'}]
p37;[]
p380;[{'1': 'NetworkTrafficAnalysis'}, {'2': 'NetworkTrafficFiltering'}, {'3': 'ProtocolMetadataAnomalyDetection'}, {'4': 'InboundTrafficFiltering'}]
p381;[{'1': 'NetworkTrafficAnalysis'}, {'2': 'NetworkTrafficFiltering'}, {'3': 'ProtocolMetadataAnomalyDetection'}, {'4': 'InboundTrafficFiltering'}]
p382;[{'1': 'URLAnalysis'}, {'2': 'URLReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierReputationAnalysis'}]
p383;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'HomoglyphDetection'}, {'3': 'URLAnalysis'}, {'4': 'URLReputationAnalysis'}]
p384;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'URLAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'IdentifierReputationAnalysis'}]
p385;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p386;[{'1': 'FileAccessPatternAnalysis'}, {'2': 'FileIntegrityMonitoring'}, {'3': 'FileRemoval'}, {'4': 'SystemFileAnalysis'}]
p387;[{'1': 'FileAccessPatternAnalysis'}, {'2': 'FileIntegrityMonitoring'}, {'3': 'FileRemoval'}, {'4': 'SystemFileAnalysis'}]
p388;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p38;[]
p390;[{'1': 'ConnectionAttemptAnalysis'}, {'2': 'NetworkTrafficAnalysis'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'ProtocolMetadataAnomalyDetection'}]
p391;[{'1': 'NetworkTrafficAnalysis'}, {'2': 'NetworkTrafficFiltering'}, {'3': 'ProtocolMetadataAnomalyDetection'}, {'4': 'InboundTrafficFiltering'}]
p392;[{'1': 'NetworkTrafficAnalysis'}, {'2': 'NetworkTrafficFiltering'}, {'3': 'ProtocolMetadataAnomalyDetection'}, {'4': 'InboundTrafficFiltering'}]
p393;[{'1': 'NetworkTrafficAnalysis'}, {'2': 'NetworkTrafficFiltering'}, {'3': 'ProtocolMetadataAnomalyDetection'}, {'4': 'InboundTrafficFiltering'}]
p394;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p395;[{'1': 'ScheduledJobAnalysis'}, {'2': 'ProcessAnalysis'}, {'3': 'ProcessSpawnAnalysis'}, {'4': 'ProcessTermination'}]
p396;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p397;[{'1': 'AccessModeling'}, {'2': 'DomainAccountMonitoring'}, {'3': 'LocalAccountMonitoring'}, {'4': 'UserAccountPermissions'}]
p39;[{'1': 'DNSAllowlisting'}, {'2': 'ExecutableAllowlisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'InboundTrafficFiltering'}]
p3;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p400;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p401;[{'1': 'FileAccessPatternAnalysis'}, {'2': 'FileIntegrityMonitoring'}, {'3': 'FileRemoval'}, {'4': 'SystemFileAnalysis'}]
p402;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p403;[{'1': 'ScheduledJobAnalysis'}, {'2': 'ProcessAnalysis'}, {'3': 'ProcessSpawnAnalysis'}, {'4': 'ProcessTermination'}]
p404;[{'1': 'AdministrativeNetworkActivityAnalysis'}, {'2': 'RemoteTerminalSessionDetection'}, {'3': 'ConnectionAttemptAnalysis'}, {'4': 'NetworkTrafficAnalysis'}]
p405;[{'1': 'ScheduledJobAnalysis'}, {'2': 'ProcessAnalysis'}, {'3': 'ProcessSpawnAnalysis'}, {'4': 'ProcessTermination'}]
p406;[{'1': 'SystemDaemonMonitoring'}, {'2': 'SystemFileAnalysis'}, {'3': 'ProcessAnalysis'}, {'4': 'ProcessTermination'}]
p407;[{'1': 'AccessModeling'}, {'2': 'DomainAccountMonitoring'}, {'3': 'LocalAccountMonitoring'}, {'4': 'UserAccountPermissions'}]
p408;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p40;[]
p410;[{'1': 'AccessModeling'}, {'2': 'DomainAccountMonitoring'}, {'3': 'LocalAccountMonitoring'}, {'4': 'UserAccountPermissions'}]
p411;[{'1': 'SystemDaemonMonitoring'}, {'2': 'SystemFileAnalysis'}, {'3': 'ProcessAnalysis'}, {'4': 'ProcessTermination'}]
p412;[{'1': 'FileAnalysis'}, {'2': 'FileHashing'}, {'3': 'FileRemoval'}, {'4': 'ProcessTermination'}]
p413;[{'1': 'AccessModeling'}, {'2': 'DomainAccountMonitoring'}, {'3': 'LocalAccountMonitoring'}, {'4': 'UserAccountPermissions'}]
p414;[{'1': 'AccessModeling'}, {'2': 'DomainAccountMonitoring'}, {'3': 'LocalAccountMonitoring'}, {'4': 'UserAccountPermissions'}]
p415;[{'1': 'SystemDaemonMonitoring'}, {'2': 'SystemFileAnalysis'}, {'3': 'ProcessAnalysis'}, {'4': 'ProcessTermination'}]
p416;[{'1': 'AccessModeling'}, {'2': 'DomainAccountMonitoring'}, {'3': 'LocalAccountMonitoring'}, {'4': 'UserAccountPermissions'}]
p417;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p418;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p41;[{'1': 'AccountLocking'}, {'2': 'UserAccountPermissions'}, {'3': 'RestoreUserAccountAccess'}, {'4': 'UnlockAccount'}]
p420;[{'1': 'ProcessAnalysis'}, {'2': 'ProcessSpawnAnalysis'}, {'3': 'ProcessTermination'}, {'4': 'SystemCallAnalysis'}]
p421;[{'1': 'NetworkTrafficAnalysis'}, {'2': 'NetworkTrafficFiltering'}, {'3': 'ProtocolMetadataAnomalyDetection'}, {'4': 'InboundTrafficFiltering'}]
p422;[{'1': 'NetworkTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficAnalysis'}, {'4': 'ProtocolMetadataAnomalyDetection'}]
p423;[{'1': 'AssetInventory'}, {'2': 'ConfigurationInventory'}, {'3': 'NetworkNodeInventory'}, {'4': 'SoftwareInventory'}]
p424;[{'1': 'NetworkTrafficFiltering'}, {'2': 'InboundTrafficFiltering'}, {'3': 'OutboundTrafficFiltering'}, {'4': 'NetworkTrafficAnalysis'}]
p425;[{'1': 'NetworkTrafficFiltering'}, {'2': 'InboundTrafficFiltering'}, {'3': 'OutboundTrafficFiltering'}, {'4': 'NetworkTrafficAnalysis'}]
p426;[{'1': 'UserGeolocationLogonPatternAnalysis'}, {'2': 'UserBehaviorAnalysis'}, {'3': 'AuthenticationEventThresholding'}, {'4': 'AuthorizationEventThresholding'}]
p427;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'NetworkVulnerabilityAssessment'}, {'3': 'SystemVulnerabilityAssessment'}, {'4': 'OperationalRiskAssessment'}]
p428;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'NetworkVulnerabilityAssessment'}, {'3': 'SystemVulnerabilityAssessment'}, {'4': 'OperationalRiskAssessment'}]
p42;[]
p430;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'NetworkVulnerabilityAssessment'}, {'3': 'SystemVulnerabilityAssessment'}, {'4': 'OperationalRiskAssessment'}]
p431;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'NetworkVulnerabilityAssessment'}, {'3': 'SystemVulnerabilityAssessment'}, {'4': 'OperationalRiskAssessment'}]
p432;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'NetworkVulnerabilityAssessment'}, {'3': 'SystemVulnerabilityAssessment'}, {'4': 'OperationalRiskAssessment'}]
p433;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'NetworkVulnerabilityAssessment'}, {'3': 'SystemVulnerabilityAssessment'}, {'4': 'OperationalRiskAssessment'}]
p434;[{'1': 'AssetInventory'}, {'2': 'ConfigurationInventory'}, {'3': 'NetworkNodeInventory'}, {'4': 'SoftwareInventory'}]
p435;[{'1': 'ConfigurationInventory'}, {'2': 'DataInventory'}, {'3': 'OperationalActivityMapping'}, {'4': 'OperationalDependencyMapping'}]
p436;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'NetworkVulnerabilityAssessment'}, {'3': 'SystemVulnerabilityAssessment'}, {'4': 'OperationalRiskAssessment'}]
p437;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'NetworkVulnerabilityAssessment'}, {'3': 'SystemVulnerabilityAssessment'}, {'4': 'OperationalRiskAssessment'}]
p438;[{'1': 'IdentifierAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLAnalysis'}, {'4': 'URLReputationAnalysis'}]
p43;[]
p440;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p441;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p442;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p443;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p444;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p445;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p446;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p447;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p448;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p44;[]
p450;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p451;[{'1': 'ExecutableDenylisting'}, {'2': 'IPReputationAnalysis'}, {'3': 'DomainNameReputationAnalysis'}, {'4': 'FileHashReputationAnalysis'}]
p452;[{'1': 'ExecutableDenylisting'}, {'2': 'IPReputationAnalysis'}, {'3': 'DomainNameReputationAnalysis'}, {'4': 'FileHashReputationAnalysis'}]
p453;[{'1': 'ExecutableDenylisting'}, {'2': 'IPReputationAnalysis'}, {'3': 'DomainNameReputationAnalysis'}, {'4': 'FileHashReputationAnalysis'}]
p454;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashReputationAnalysis'}, {'3': 'FileAnalysis'}, {'4': 'FileRemoval'}]
p455;[{'1': 'URLReputationAnalysis'}, {'2': 'ExecutableDenylisting'}, {'3': 'DomainNameReputationAnalysis'}, {'4': 'IPReputationAnalysis'}]
p456;[{'1': 'AccountLocking'}, {'2': 'DomainAccountMonitoring'}, {'3': 'CredentialRevoking'}, {'4': 'CredentialEviction'}]
p457;[{'1': 'AccountLocking'}, {'2': 'DomainAccountMonitoring'}, {'3': 'CredentialRevoking'}, {'4': 'CredentialEviction'}]
p458;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p45;[]
p460;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p461;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p462;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p463;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p464;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p465;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p466;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p467;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p468;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p46;[]
p470;[{'1': 'SenderReputationAnalysis'}, {'2': 'DomainNameReputationAnalysis'}, {'3': 'ExecutableDenylisting'}, {'4': 'IPReputationAnalysis'}]
p471;[{'1': 'SenderReputationAnalysis'}, {'2': 'DomainNameReputationAnalysis'}, {'3': 'ExecutableDenylisting'}, {'4': 'IPReputationAnalysis'}]
p472;[{'1': 'URLReputationAnalysis'}, {'2': 'ExecutableDenylisting'}, {'3': 'DomainNameReputationAnalysis'}, {'4': 'IPReputationAnalysis'}]
p473;[]
p474;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p475;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p476;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p477;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p478;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p47;[]
p480;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p481;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p482;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p483;[{'1': 'InboundTrafficFiltering'}, {'2': 'OutboundTrafficFiltering'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'IPReputationAnalysis'}]
p484;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'URLReputationAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'IdentifierAnalysis'}]
p485;[]
p486;[]
p487;[]
p488;[]
p48;[]
p490;[]
p491;[]
p492;[]
p493;[]
p494;[]
p495;[]
p496;[]
p497;[]
p49;[]
p4;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p500;[]
p501;[{'1': 'AccountLocking'}, {'2': 'DomainAccountMonitoring'}, {'3': 'CredentialRevoking'}, {'4': 'CredentialEviction'}]
p502;[{'1': 'AccountLocking'}, {'2': 'DomainAccountMonitoring'}, {'3': 'CredentialRevoking'}, {'4': 'CredentialEviction'}]
p503;[{'1': 'AccountLocking'}, {'2': 'DomainAccountMonitoring'}, {'3': 'CredentialRevoking'}, {'4': 'CredentialEviction'}]
p504;[{'1': 'AccountLocking'}, {'2': 'DomainAccountMonitoring'}, {'3': 'CredentialRevoking'}, {'4': 'CredentialEviction'}]
p505;[{'1': 'AccountLocking'}, {'2': 'DomainAccountMonitoring'}, {'3': 'CredentialRevoking'}, {'4': 'CredentialEviction'}]
p506;[]
p507;[]
p508;[]
p50;[]
p510;[]
p511;[]
p512;[]
p513;[]
p514;[]
p515;[]
p516;[]
p517;[]
p518;[]
p51;[]
p520;[]
p521;[]
p522;[]
p523;[]
p524;[]
p525;[]
p526;[]
p527;[]
p528;[]
p52;[]
p530;[]
p531;[]
p532;[]
p533;[]
p534;[]
p535;[{'1': 'EmailRemoval'}, {'2': 'EmailFiltering'}, {'3': 'SenderReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p536;[{'1': 'EmailRemoval'}, {'2': 'EmailFiltering'}, {'3': 'SenderReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p537;[{'1': 'EmailRemoval'}, {'2': 'EmailFiltering'}, {'3': 'SenderReputationAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p538;[{'1': 'DNSTrafficAnalysis'}, {'2': 'URLReputationAnalysis'}, {'3': 'DomainNameReputationAnalysis'}, {'4': 'IdentifierReputationAnalysis'}]
p53;[]
p540;[]
p541;[{'1': 'CredentialRotation'}, {'2': 'CredentialRevoking'}, {'3': 'AccountLocking'}, {'4': 'UnlockAccount'}]
p542;[{'1': 'MessageAnalysis'}, {'2': 'UserBehaviorAnalysis'}, {'3': 'AdministrativeNetworkActivityAnalysis'}, {'4': 'NetworkTrafficAnalysis'}]
p543;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p544;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'UserGeolocationLogonPatternAnalysis'}, {'4': 'IdentifierAnalysis'}]
p545;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'UserGeolocationLogonPatternAnalysis'}, {'4': 'IdentifierAnalysis'}]
p546;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p547;[{'1': 'MessageAnalysis'}, {'2': 'UserBehaviorAnalysis'}, {'3': 'AdministrativeNetworkActivityAnalysis'}, {'4': 'NetworkTrafficAnalysis'}]
p548;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'UserGeolocationLogonPatternAnalysis'}, {'4': 'IdentifierAnalysis'}]
p54;[]
p550;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p551;[{'1': 'NetworkIsolation'}, {'2': 'ExecutionIsolation'}, {'3': 'ProcessEviction'}, {'4': 'ProcessSuspension'}]
p552;[{'1': 'NetworkIsolation'}, {'2': 'ExecutionIsolation'}, {'3': 'ProcessEviction'}, {'4': 'ProcessSuspension'}]
p553;[{'1': 'AssetInventory'}, {'2': 'ConfigurationInventory'}, {'3': 'NetworkNodeInventory'}, {'4': 'SoftwareInventory'}]
p554;[{'1': 'AssetInventory'}, {'2': 'ConfigurationInventory'}, {'3': 'NetworkNodeInventory'}, {'4': 'SoftwareInventory'}]
p555;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'IdentifierAnalysis'}]
p556;[{'1': 'FileHashReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'FileHashing'}, {'4': 'IdentifierAnalysis'}]
p557;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'URLReputationAnalysis'}]
p558;[{'1': 'URLReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'DomainNameReputationAnalysis'}]
p55;[{'1': 'FileHashReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierActivityAnalysis'}, {'4': 'IdentifierAnalysis'}]
p560;[{'1': 'AssetInventory'}, {'2': 'ConfigurationInventory'}, {'3': 'NetworkNodeInventory'}, {'4': 'SoftwareInventory'}]
p561;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p562;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p563;[{'1': 'AssetInventory'}, {'2': 'ConfigurationInventory'}, {'3': 'NetworkNodeInventory'}, {'4': 'SoftwareInventory'}]
p564;[{'1': 'AssetInventory'}, {'2': 'ConfigurationInventory'}, {'3': 'NetworkNodeInventory'}, {'4': 'SoftwareInventory'}]
p565;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p566;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p567;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p568;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p56;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierActivityAnalysis'}, {'4': 'IdentifierAnalysis'}]
p570;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p571;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p572;[{'1': 'FileHashReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'FileHashing'}, {'4': 'IdentifierAnalysis'}]
p573;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p574;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p575;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'IdentifierAnalysis'}]
p576;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'IdentifierAnalysis'}]
p577;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p578;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p57;[{'1': 'URLReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierActivityAnalysis'}, {'4': 'IdentifierAnalysis'}]
p580;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p581;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p582;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p583;[{'1': 'UserBehaviorAnalysis'}, {'2': 'UserGeolocationLogonPatternAnalysis'}, {'3': 'AccountLocking'}, {'4': 'CredentialRevoking'}]
p584;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p585;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p586;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p587;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p588;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p58;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierActivityAnalysis'}, {'4': 'IdentifierAnalysis'}]
p590;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p591;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p592;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p593;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'MessageAnalysis'}, {'4': 'SenderReputationAnalysis'}]
p594;[{'1': 'NetworkIsolation'}, {'2': 'ExecutionIsolation'}, {'3': 'ProcessEviction'}, {'4': 'ProcessSuspension'}]
p595;[{'1': 'NetworkIsolation'}, {'2': 'ExecutionIsolation'}, {'3': 'ProcessEviction'}, {'4': 'ProcessSuspension'}]
p596;[{'1': 'NetworkIsolation'}, {'2': 'ExecutionIsolation'}, {'3': 'ProcessEviction'}, {'4': 'ProcessSuspension'}]
p597;[{'1': 'NetworkIsolation'}, {'2': 'ExecutionIsolation'}, {'3': 'ProcessEviction'}, {'4': 'ProcessSuspension'}]
